Gold	Predictions	Probabilities
central asia	[2]	[1.0]	vvsR9oCZ7AX5YdcH2bJZdg
northern europe	[5]	[0.9999128580093384]	2GBMCe4lxTZTnBI0HCQspw
northern europe	[0]	[0.9999990463256836]	l-TIO8rT7_i2ZH9ZkzzCnn
western europe	[4]	[0.9999979734420776]	bLJGOs8W2dM8AEmOTxLswA
balkan	[6]	[0.9998418092727661]	sIx2nV2ALKVFVvLGsaEL2u
northern europe	[1]	[0.7842003107070923]	r1YiscwaO5dD_Ad4yIs1EI
europe	[6]	[1.0]	cmujBI-3PbeOcXvXbGBdU0
balkan	[5]	[0.9999983310699463]	wmjDf7hLMHqpGBP7SpiVyx
western europe	[2]	[1.0]	4vS0Pl7klrLcvieWVsVx8A
north america	[5]	[0.9566645622253418]	5r4i-hj3za0_yfDe3HG7-w
europe	[6]	[0.9998390674591064]	msNTI0cRCs8v79tyQp9a7A
europe	[0]	[0.994721531867981]	iv7OD57gq_B6sUS5ZrJhDg
balkan	[1]	[0.9716926217079163]	6vbux6hetKiDAAd8B-Hnsl
southern europe	[5]	[0.7762731313705444]	5R90V46gBGP6pJLuWRIXZg
europe	[6]	[0.9989125728607178]	fqwH60J3G_srnVx8GK9FDg
europe	[6]	[0.998496413230896]	aBT0cbx1sBNx88cV-cbgqw
balkan	[0]	[0.5197932124137878]	HTApsALZvnYqg9_UMMgrb2
europe	[1]	[0.7810959219932556]	AhEThT53Kebqw7q2WKw42A
europe	[2]	[0.9497565627098083]	XhMUlPFfwJLPKBMUPEjGgg
western europe	[4]	[0.9019355177879333]	rBA_MEiCfEgQnScAy1KFow
northern europe	[0]	[1.0]	rKYnC66N0D0S1qIaPlUWX8
europe	[2]	[1.0]	hGwl48jwpjaYQXoSDkeWFg
northern europe	[1]	[0.9982370138168335]	a-yE2T3AA2rhur3Itbjfwg
balkan	[0]	[0.9999809265136719]	46YRIm8oLXtu9tVCSUt6BP
europe	[10]	[0.999948263168335]	_PZekD6faYSFBqGQTfTSTL
europe	[2]	[0.6501550078392029]	4GOwZQFnOl249qpwVJcWmQ
northern europe	[0]	[0.9992135763168335]	faRQp4XfXrrHuAcob3tPdX
europe	[0]	[0.998860239982605]	9jIqMUYDn62BxM6Y-eH1mQ
europe	[0]	[1.0]	euWqm4ZORHoKsawphF6RRQ
northern europe	[0]	[0.9872135519981384]	YmdUpbYZHgQdvmuhveqLMN
asia	[4]	[1.0]	5B5ZlGlQLiYNkPBBOFI-Gg
europe	[1]	[0.9944158792495728]	ag3T09WA9dyN0BPXj8ZH-g
europe	[0]	[0.9874324798583984]	ZzsDDYqDPZqSy1DZJPIN4g
western europe	[2]	[1.0]	YGRJyn9S680GM3Yrxbfc3g
northern europe	[6]	[0.8870617151260376]	6ZdDq6tX2CyTlq-YwCNuTP
europe	[4]	[0.9957356452941895]	3EeS8jLaYFsWALZsPzNcpg
europe	[2]	[0.9999878406524658]	lDwGDsrfiVkV_DiIE0KBHA
balkan	[5]	[0.9993482232093811]	1amjW2zzCT8-a4D0o5fY4R
balkan	[5]	[1.0]	V3EZWp7joob92vhvhrzZrg
western europe	[2]	[0.8141082525253296]	BHLKTsiiPKo22gSPVbGDJA
balkan	[6]	[0.9762744307518005]	deA5Lfy9ADgaZS0NagLdFJ
europe	[2]	[0.6887005567550659]	wvtyZNqruVWxUTgn3Yi9Vg
northern europe	[0]	[0.9999784231185913]	4puqcaUgjcI6hOcHGv7i6-
northern europe	[0]	[1.0]	25udesaGxGC_GqP4PGg7ta
europe	[2]	[0.9670825004577637]	3PEMfck9EF8m5ucK6zhU5g
europe	[1]	[0.9932760000228882]	hUIIuruKPxPCycVP2h-i2F
europe	[2]	[0.9999942779541016]	kOiHRfGocbVK9OBqqAVFjQ
europe	[2]	[1.0]	C_9LeqT4fHgNhgEbL78QhA
europe	[6]	[0.9999727010726929]	TVdjfbmo7G8IUppFNc7i9z
northern europe	[0]	[0.999992847442627]	hW9Z5LeSjNVmFjOifiQm8g
europe	[1]	[1.0]	EPxyGaze1i9d9JRefv_a0Q
europe	[6]	[0.9999979734420776]	5VulD20OxGQGA3t3MlEbMw
europe	[0]	[0.9283108711242676]	ePzoIADH5B9NT-evebWArw
balkan	[6]	[0.9999927282333374]	cAG-X5qMTotPj3cEstWbwA
europe	[5]	[0.8968768119812012]	CdgfbU1wzihwpGqq3e1sRA
europe	[2]	[1.0]	Y5tbK4PFwak0fPQGcO2Vdg
europe	[2]	[1.0]	5N8M3rslb9HyzQPDfItP5w
balkan	[6]	[1.0]	4_F63FF_rDFPl8DWvOC3iA
balkan	[5]	[0.9553066492080688]	sbthFRQeCVXYIfdkgm70HR
northern europe	[0]	[1.0]	ljaPzATLdiXhQgM6oF0HQ4
europe	[2]	[0.9999997615814209]	ddcFbUhM0C29WsbzCol9EA
central asia	[2]	[1.0]	XemYy23TUnUkwmdgZWbfkA
western europe	[2]	[1.0]	iBYeFqBSCN-Fo1Acn81e8w
europe	[0]	[1.0]	64nzY0BfsrAq46VIpKa_-Q
europe	[2]	[0.9986555576324463]	EsbxCJd7csp8xG8jf35y5A
western europe	[2]	[1.0]	8LAUVaXhfYDIWXP4TNAFLw
europe	[2]	[0.9993150234222412]	Zf82CHHpowXo-BO4zKxuTQ
europe	[6]	[1.0]	jQnqaEMVjxMcVfnO02fTpw
western europe	[2]	[1.0]	8KUUSptN5Ik3ItXHBz9uvw
europe	[1]	[0.9998010993003845]	2jNJ_-N_KqZoN4BabQQevQ
western europe	[6]	[0.9969804883003235]	-NQPMuOW0ofWY2pag6fsXg
europe	[2]	[1.0]	nqEmM8Qp6RToqU1Os3Y5AA
western europe	[2]	[1.0]	1cAUWJJXmjP7ZmIwXnesBg
balkan	[6]	[1.0]	8FQHwyv1N2ocDi55aGHmq-
western europe	[1]	[0.9999943971633911]	yy3iMXXC-_oPPHZdiwzOIw
europe	[2]	[1.0]	V_GTbSU8Q2jDm9fBc3DgwA
europe	[6]	[0.9846998453140259]	zVyr49mv2CL42snoa6-L5g
europe	[2]	[0.9999996423721313]	ByqEpUpsedjJH6er4xwhOQ
europe	[5]	[1.0]	qqp9pKSaq_aELqyi7jsYVA
europe	[0]	[1.0]	DIvnJcrN-Yh5xJleNOQ2FA
southern europe	[1]	[0.9710550904273987]	ki0Wsqw6MnHtFkuJYTSiFA
europe	[10]	[0.9263856410980225]	EdvJoFR2Xfvg22IPerbzFJ
western europe	[2]	[0.9734442234039307]	Zk-pjNdk7cEmDjfp_byoLw
western europe	[2]	[1.0]	3Carsuuq_8_UJTxSigKPzQ
western europe	[6]	[0.9979709982872009]	iF6v9WGLlLlNGNYRVwX5Mw
northern europe	[0]	[0.9849456548690796]	stP3l_f2gx-vQba8QblKYg
northern europe	[0]	[0.8227639198303223]	o74cprS6D3TmmNeO1AkYcg
central asia	[2]	[1.0]	9JNjL3nU3KVo5fWGv-ljaQ
europe	[0]	[0.739680826663971]	7lrqcAebEo7K-2XYIgJKMU
western europe	[2]	[0.999894380569458]	_wVI4o2eUZ_HfmyzNAxrKA
western europe	[0]	[1.0]	5_2RAduqyiKEdx-_D1d0ly
europe	[2]	[0.9997069239616394]	4G7_nC-jGH6ShG6SsgdIxw
northern europe	[11]	[0.99802565574646]	ykYr3oP7GPR5btUSOudD9w
baltic	[11]	[0.990382730960846]	wZoep0vh2TlZJ1XmQ0FnhA
baltic	[11]	[0.999954342842102]	7aYQhomtLoqCqai9Jyej9Q
northern europe	[11]	[1.0]	IOukQVoWDUU6v9xI-Pb1TA
northern europe	[11]	[1.0]	4wT3QlzJmz7yIhABaHQ4iQ
western europe	[10]	[0.9999696016311646]	_9kqU_HNzt8mu0Q4yFMioA
baltic	[2]	[1.0]	ZAprzMovpgjg1PfXP6pfcA
northern europe	[10]	[1.0]	IOyvb0ksKh1KKaGvbaBaOA
baltic	[11]	[0.9089515805244446]	ho8BWlvRIYvkdg0dUbWRdA
northern europe	[11]	[0.9999637603759766]	JJM7MMZ6bdZ-m1gypXjdig
western europe	[11]	[0.9949706196784973]	B7FY1ss6EJ9xCENA3516WQ
baltic	[2]	[0.9999992847442627]	aZeoj-1RNU2gBpUOwaQxtA
western europe	[10]	[1.0]	DvK5mbXrGWo8v9zWoZ68_w
western europe	[11]	[1.0]	D4hr5oZLrkR5YFyrBiiQ0g
baltic	[11]	[0.9999995231628418]	5WKgExeil5KHYae_8sanoQ
northern europe	[10]	[1.0]	YZ80k3VHrfZDspQd7qX8Tg
western europe	[1]	[0.9996392726898193]	VHYvE_u3zMT16ZUHuPDJMQ
northern europe	[11]	[1.0]	cvF3gbb8cbDIPUsZohHopg
europe	[11]	[0.9999918937683105]	YpPSV8BxuUWdqfeg8pU3Pg
northern europe	[6]	[1.0]	g4jPHbhvoFcPJlCHqGxLiA
baltic	[6]	[0.9651301503181458]	gtpkC6f5yonEh9_Qy5oIMg
northern europe	[10]	[1.0]	5aOFtQ6LXOVXP_hyyzErtQ
northern europe	[10]	[1.0]	fCYx-ASztvHRSTZ5Ypd1Eg
northern europe	[10]	[0.7209701538085938]	CGSRhck7b_WzZTjL5Mw92g
western europe	[11]	[1.0]	zghff2fA5dQ9RT50RQOR7A
baltic	[11]	[1.0]	6OitH1t3MdxkhIk_F8w-HQ
baltic	[10]	[0.9816693663597107]	18kroHvi2u6E9_7Mpfswug
northern europe	[11]	[0.9965434670448303]	y5iYBjhu851eGFiJuNrlcA
baltic	[11]	[1.0]	iqkMUnLsJVSRm77WqeehVg
northern europe	[11]	[0.9999901056289673]	kgwFfDCki3bC99T-RspeKw
northern europe	[2]	[0.9997959733009338]	xls5WEDOafGPNlZucuHFeg
baltic	[11]	[1.0]	r2HWhp2tXWgX_G2lcTRCtg
northern europe	[11]	[1.0]	VQSSmarjZevP8ePpv-tClg
northern europe	[4]	[0.995253324508667]	aCs662ZxTvOMUNcbZ9ABJQ
baltic	[2]	[0.9908962845802307]	vLAiOPHwrEnJWeKJrKX_bQ
northern europe	[10]	[0.9982081651687622]	3qN662cwzvSLPH2Il1pmNg
baltic	[11]	[0.9994223117828369]	dY-J3Chlgt74j6ilgyV77Q
northern europe	[11]	[0.9947782754898071]	E6t08LrCdYTcUXs-kZ3vgA
northern europe	[10]	[1.0]	Y4TJa-FXaeeAkyscbt2iqA
baltic	[2]	[0.9593477845191956]	jMFacYluhY3SY9_KSZu7Dw
northern europe	[10]	[0.9493747353553772]	VZVVsqzriGmCVpR7475WfA
northern europe	[6]	[0.5393667817115784]	dvUBiNZj9OKle6W66jxNsg
northern europe	[10]	[0.5663267970085144]	o15XXceHvVw5VM858MJK-w
northern europe	[6]	[0.9993425011634827]	a9Nkm_dm4iBs3p6Rk6BWhQ
northern europe	[11]	[0.9999998807907104]	aI3KiJozxm-ptUkNtWI2dA
europe	[2]	[0.8064671158790588]	Eup7YLqmnIpKoTXZaRjh7Q
northern europe	[6]	[0.6526038646697998]	l-sZ46mEjDIuW-3slM81vw
northern europe	[10]	[1.0]	zZNDNcnJTFoU-ztfkkc7Xg
northern europe	[11]	[0.9999514818191528]	Ce-FozzVa_1tO5mevcv2-g
northern europe	[10]	[1.0]	Tn8xtgSMUWBQFyp7SZYh6w
baltic	[11]	[1.0]	UoiHLncy0vBTkaMrg9W3LQ
northern europe	[10]	[0.8398488759994507]	bnKeCKiMnyvaDHwJbtR-DQ
northern europe	[10]	[0.9969033598899841]	x-qG3X0zs2vtB5vpKkro5A
northern europe	[10]	[1.0]	mu18ylpSyKORK5am6j0o-A
baltic	[11]	[0.9999812841415405]	c0rih6ewUH7_IfSr7anFRA
northern europe	[11]	[1.0]	rVNI2I7ZSqXNfSU7lbMpYg
baltic	[10]	[1.0]	8sGHCNLkB1Kk8_6EJNWnUQ
northern europe	[10]	[0.9999960660934448]	mbtznsU8GcpJMWvLwkQtwg
baltic	[10]	[1.0]	5z423RfbYS1RKTYFSNwmpg
greenland	[2]	[1.0]	ylC-IH2WabevAj4F724u1Q
northern europe	[11]	[1.0]	3lFei_9icDfHuC7NKMMkWA
baltic	[11]	[1.0]	sIMeWUG_NBOdLuuQrlV9EA
northern europe	[11]	[0.7507849335670471]	x44UdnwfnZR_ntsFrm4S2A
western europe	[10]	[1.0]	7XhQ0aXjF4k95KuxowWFVA
western europe	[11]	[1.0]	IY4bn_-oJ9vvI6ylmqu-lg
western europe	[10]	[0.9976165294647217]	Wz9rxDLhnZljdDKfxJjB9g
northern europe	[10]	[1.0]	wCxrj0rYzUa6r4wml0Nrbg
northern europe	[6]	[0.9978098273277283]	3PCM97P9Rx2jEOzcFDEVIg
baltic	[11]	[1.0]	vtgDf2HKOHGf8xQrpRAhzg
northern europe	[10]	[0.9999927282333374]	TQYFIkIteClgzWCy0Qud1Q
northern europe	[10]	[1.0]	mst4X3F3Vpfc1SsrSIw50w
baltic	[11]	[0.9985426664352417]	7r5pPC3-PfWtUwt4VJViow
northern europe	[8]	[0.9198125600814819]	gykBovcagnuFnmIQQN2YZg
eastern europe	[11]	[0.9999979734420776]	5xD6NdU52yDMCcNakA1gZg
northern europe	[5]	[0.9959970712661743]	h2ODBUyKXhqDObiWbr0qSw
northern europe	[2]	[0.9999997615814209]	m8b7fkvqN-WPMi4D_hfeOw
western europe	[11]	[1.0]	qvwnjU_ix2UylO9_d2xEeA
northern europe	[2]	[1.0]	b7PJ1D172CAtuCEJ9Uo4Qw
northern europe	[4]	[0.9342751502990723]	xJnM20edcHa-0xWjvQ6wMA
western europe	[10]	[1.0]	0dmtdb3ai9Q71hUo0doMJw
northern europe	[2]	[0.9999794960021973]	Cg-dPZDVptY2havX02Wo_g
northern europe	[6]	[0.9812231063842773]	c3siEo9IpgyHly4_bi1-bw
baltic	[11]	[1.0]	-eSOytzm9x7w-MTTOYcEFQ
baltic	[10]	[0.9997803568840027]	lKYKxzQKlu3yrKd9Xjl1cw
europe	[4]	[0.9516074657440186]	aDQMHn1A40xSdwDjZNmMFw
baltic	[2]	[0.9981690645217896]	axcLbw0yZu-WPLuiZsOXZg
northern europe	[11]	[0.9988975524902344]	dvzSll8UbFTlCuBJM3_2ww
northern europe	[11]	[0.7783506512641907]	fVabcePScbkjN-F8Tqrnng
northern europe	[6]	[0.9999954700469971]	AesHJCxYl37EE8taFplF5g
northern europe	[11]	[1.0]	f-9RyuDGIV6nuqiLgqW9Dg
western europe	[10]	[1.0]	wweYXNfTa7YZe58snvffMg
northern europe	[10]	[1.0]	r5jO5uKl2fRrhFqvEshpVQ
northern europe	[11]	[1.0]	0ZsHgNSuVaRBlTqVBt9GZw
northern europe	[10]	[1.0]	g3UfIyh4FPWZfZhsAMpmmg
baltic	[10]	[0.9281629920005798]	kcmjp3RiZy4ElhjVInzFaA
northern europe	[5]	[0.9999986886978149]	8HGpflPRl9fo_fryN_wACg
northern europe	[2]	[1.0]	vQnc09MXKDLBxvOO5IhrOA
northern europe	[6]	[1.0]	WfArS1-iT1rprxprV_lmOQ
northern europe	[11]	[0.7771603465080261]	aKkqZ8f6Yg7O2NLV0jCIvg
western europe	[11]	[1.0]	VZFUCU_qaq7dYWWJ6WFYsg
south east asia	[6]	[0.9999998807907104]	IOb6P4DmpC6XDpnV-urZBg
south east asia	[8]	[1.0]	fElRm_rmHChXnlFtWglF3g
southern europe	[2]	[0.9999791383743286]	XiFi2Bk9TKXXnol2Jf5WmA
south east asia	[8]	[1.0]	bKA7x_1q7rNFBc-QJ0HfYQ
south east asia	[8]	[1.0]	bPfCXYfpuEotwJjzJlejng
south east asia	[8]	[1.0]	arIjNmXSoxOc3CWCLtQc8Q
south east asia	[4]	[0.9991425275802612]	zk5xthsp5QtUlVTW2Uhdug
south east asia	[8]	[1.0]	itCivRE9WB-aQi64DtOUoQ
south east asia	[8]	[1.0]	3DSPhV8rOKoJ8HTQnZqIyQ
asia	[9]	[0.9907886385917664]	Hsaw4bIvjTmPsYDAAFSQkA
south east asia	[8]	[1.0]	6ne49e9C8WNGHCn5LWOD8w
south east asia	[9]	[0.9989838004112244]	zaS0BLNKUFv_Pz454kpALg
south east asia	[8]	[1.0]	oLMbwhm_rOevNT6qYWsTsg
south east asia	[8]	[1.0]	YPCGSkh49jC6D3II7WgnZA
south east asia	[8]	[0.9461411833763123]	TTH4cJMqHVV39tEXbGxN3Q
south east asia	[8]	[0.9913492202758789]	7Ujbg-tpLNIv_V9EN2zznw
caribbean	[0]	[0.9948431253433228]	2esqzv9g31y-7Wgg6GUTvw
south east asia	[8]	[1.0]	3Ls6Q1eftpDZXuf3AD9KAQ
south east asia	[1]	[0.999940037727356]	SxrJnBcTbYfNCVdAX7C1Lg
south east asia	[4]	[0.9999998807907104]	fdcsT7fNnPNovIvzPW98RQ
south east asia	[8]	[1.0]	fC4EGd0JmHYSP4WQpNioZw
south east asia	[8]	[1.0]	5a86oSWGpRzV9t3jD2ysNg
caribbean	[2]	[1.0]	4pCyy_zdT2aRxSNE4K5H5Q
south east asia	[4]	[1.0]	yt5Jqc-A_NiU5SwEmXlxQw
south east asia	[4]	[0.9927718043327332]	1Oxtne3eivP2TX9E0I-W2g
south east asia	[4]	[0.9998389482498169]	nPtbbF8i-Kb187-Pxwnwhw
south east asia	[8]	[1.0]	mJcxyC5-JMxvmfDHASDFLA
south east asia	[8]	[1.0]	BUx-iZuTh7j6Kyd6tP5zHQ
south east asia	[8]	[0.9998018145561218]	ipf6CZya2DvvSc04FljPJw
south east asia	[1]	[0.7889797687530518]	gnIBbEBIzmDEVr6ENQLmzg
south east asia	[6]	[1.0]	IqviQ4rguoZtYP1GCwASfQ
south east asia	[8]	[1.0]	fUOjbHRF9-lRwcLOFDzdJQ
south east asia	[8]	[1.0]	C7m70D_gwth2SN3eJG4Zlg
south east asia	[8]	[0.9999984502792358]	8qDYb0Wf8xLiMgR5CwYztQ
europe	[0]	[0.9999929666519165]	flZlJx7HUdh1tmYgbp9k2w
south east asia	[8]	[1.0]	xdie3NhefIYgclBUR_vuPw
south east asia	[1]	[1.0]	-GOUm1bjtlzPYmP7YzhrEw
south east asia	[8]	[1.0]	XpbumecagpaZb2lGnZBfyw
south east asia	[8]	[1.0]	HZFmbNAQb3jqDQBv-1EnWg
south east asia	[8]	[0.9999086856842041]	xcXQBzLuTfe4O142ZDgpbA
south east asia	[8]	[1.0]	5Gzgy3fQuYmcDGYqh5k_Fw
south east asia	[8]	[0.9996631145477295]	2Rh5IsaBnbyF4i-SLVvRqw
south east asia	[1]	[1.0]	bhjYw8NZgmUsL577hSAE3A
south east asia	[1]	[0.9999996423721313]	HOKXK2ISjoS3rnwLWQlhnw
south east asia	[8]	[0.9999923706054688]	ktT4mHXX16SgZrXv9gu1LA
south east asia	[8]	[1.0]	_85QH2I-m-GNTpoNn9oDlw
south east asia	[8]	[1.0]	hq6Y96OG1HVVOPO3hcXYTg
south east asia	[8]	[1.0]	etkJ6nIjVx_H4IuBSd3_3w
south east asia	[8]	[1.0]	ivEdvGq_1akQBOI6j3vaOw
south east asia	[8]	[0.683975875377655]	VwO6lzO0asl_j8bTbmCpyw
south east asia	[8]	[1.0]	ESb1k6fov0cTJTxscrrZtA
south east asia	[1]	[0.9691251516342163]	WX2acrTuE9gOdkmrgX_oPQ
south east asia	[8]	[1.0]	HGCgKnOZmFYHJsbeHA3RgQ
south east asia	[8]	[1.0]	i-pgQqzTi-O8u7aVqFlPvw
south east asia	[8]	[0.9983587861061096]	DZl6037wJJkPPJn9L732Iw
south east asia	[8]	[1.0]	l-4OFGk4HjxYLFsudQu-MQ
south east asia	[8]	[0.999998927116394]	XbI0JCfaYGzHfukrX-6P5g
south east asia	[8]	[0.9999974966049194]	VpJfo6DAaIhcvDVGW5BpeA
south east asia	[3]	[1.0]	sA7DaxTYwqYA9WVmVHPqxw
south east asia	[8]	[0.9646247029304504]	45K2XmmJT809IrBvQkwdVg
south east asia	[8]	[1.0]	rTzfcVUjETZTaX6L5wbK8A
south east asia	[8]	[1.0]	ebVOcFAhrfNDwFPkuI43OQ
south east asia	[8]	[1.0]	IZZDc-ZINQxw7oZJo_nrpQ
south east asia	[6]	[0.9999983310699463]	-4agDszGKlaHGJ7tXrJixg
south east asia	[3]	[0.9999178647994995]	r-BailOw_47sMTDVBlD7wA
south east asia	[8]	[1.0]	28i7gT5NMVRBeKESUlLjig
central america	[6]	[0.8413138389587402]	w1xLFaY_JJdJNvBdn8mgng
south east asia	[8]	[0.9995543360710144]	E829UDJHflw9VmsjSHLRKg
south east asia	[8]	[1.0]	cjfJKnUj-ScdmN3C9c-bVA
south east asia	[8]	[1.0]	_wVBCs2_HfZncA5PEiaWSQ
south east asia	[1]	[0.9999995231628418]	BeoEp_3veZCUKSmyJCa-Tw
south east asia	[8]	[0.9999996423721313]	8zuoXYd4VFVBVTOenqT7Jg
south east asia	[8]	[0.999994158744812]	8kHVoAP5y3Mimk_aLSBdFw
south east asia	[8]	[1.0]	U4L4J7LS-F8vyUpJhijhBQ
south east asia	[8]	[0.9582275748252869]	j-tzsi6UOYs23yb9qUKdKg
south east asia	[4]	[0.9248829483985901]	eAotofj1mbMIJDdhnXsVPw
south east asia	[8]	[1.0]	Th0pLO-VScU2p4ksTtaU2w
south east asia	[4]	[0.9999977350234985]	vHOQVk5lb9IGK7Vg07i2qw
south east asia	[4]	[0.7666810750961304]	mM8mxUUr8mzStEcZeJjWrQ
south east asia	[0]	[0.9999803304672241]	9Um7-GhHHyBgrb-d0sG7Eg
south east asia	[8]	[0.9825637936592102]	XOv48BFF3JLYxneHbZL4bw
south east asia	[8]	[0.9809725284576416]	x1ONb8RlSkaqJBVY6ohsLw
caribbean	[8]	[1.0]	hQXCc3VY7ICo7Mxioyofvg
south east asia	[1]	[0.9999526739120483]	CjLgxkU42bLRKqPAdNDJaA
south east asia	[8]	[1.0]	bluBTv2tALEdcNfdaTjd7A
south east asia	[8]	[0.9531075358390808]	daj8HItGqASMMG88Ey78Gw
south east asia	[1]	[0.9992431402206421]	bEW3r5B2dQDW-cqo0z-Aig
south america	[8]	[1.0]	9LYKtShTj2u6adoNeOL_Sg
south east asia	[8]	[1.0]	vbSL4vuQDjyXfufT0meDVQ
south east asia	[8]	[1.0]	rVejkUgV2u8h3BZNsuHYPA
south east asia	[8]	[1.0]	bqx8_4e6P8Lj_3WzLNMtHA
south east asia	[8]	[1.0]	qxFVxGiA6c95uK3lshxdOA
south east asia	[8]	[1.0]	k_hwMsvbTdDxNEawbXJ8cg
south east asia	[8]	[1.0]	3ZA9WfIhQhgj4fMMKnTPSA
south east asia	[8]	[0.9933791160583496]	bV1SXBl0O6I2N1WKcpdaAA
south east asia	[8]	[1.0]	C3SyzGYMFbVXO1Ebw0ywwA
south east asia	[8]	[1.0]	jwTF-s9QWo37PLDBv-G7iA
south east asia	[4]	[1.0]	CMy_G8tY1cLs5_HwGL-LpA
south east asia	[8]	[1.0]	1FepvjBJjOyoROSeDDVgMA
south east asia	[8]	[1.0]	WmLifK5ee4Qj5Ys9TxIfqA
asia	[6]	[1.0]	Uc3Kea6EQcuRnhxbDv_BSg
south east asia	[6]	[1.0]	nLmslldBUUy_YnjqECxJWA
far east asia	[6]	[1.0]	bCGfXgt3CMJwVAHHqsymJw
caribbean	[2]	[0.9998798370361328]	dThBNPHiFAM9HNDPwj9Iwg
south east asia	[6]	[1.0]	Dy_aQ4YekeqlDxwGIykxvg
asia	[6]	[1.0]	_qC0hNSA-MVYJQnZmdNROg
asia	[6]	[1.0]	f0tYF1tpqCwVNnkLnNhUxg
asia	[6]	[1.0]	oLnidxgz5cX2foYwkaEYGQ
asia	[6]	[1.0]	kDd9rXSg0bzGLPg9Ee9QHQ
south america	[6]	[1.0]	ZSp7dedAKSlpJOEwewRTxg
central america	[6]	[1.0]	TJ5a5zENQD9WIpV9X-CLQQ
caribbean	[0]	[1.0]	f3A-9-7E5K3EmBVsRUwDlg
south east asia	[6]	[1.0]	EKooFxsED9O036SrywNtbw
asia	[6]	[1.0]	UZOESclWeJxoQFeVKl1Dfg
asia	[6]	[1.0]	DgvDE5Hc1zUo6CfaJ5ETnw
asia	[6]	[1.0]	92RSzBBmkgnPH_IiNsEttA
balkan	[6]	[1.0]	10C6XozpiY423rKbcTV9x8
micronesia	[6]	[1.0]	yzssUwBPLflT-KMendWTrQ
south east asia	[6]	[1.0]	hH-vBsR3b2dDWDq8AdfXPw
south east asia	[3]	[0.7642159461975098]	krrUtf2e-5cWjsQGRxU0rA
far east asia	[6]	[1.0]	XqQQFeWlUASU1NLI2UlUlg
south east asia	[6]	[1.0]	xBGK5JR1sTyTvbDQpDyJIw
asia	[6]	[1.0]	3ut2_FOSYTipBMX6Xqhczw
caribbean	[6]	[0.9999998807907104]	HxSiAFPyD5zmc_sfjvdfkQ
micronesia	[6]	[1.0]	2SEUcmFxyEjgGEOno_ym3Q
asia	[6]	[1.0]	0-3NXrTbx-szBVK0jQP1ww
asia	[6]	[1.0]	l6MSZ68ZcVzAC8D_PSFv7Q
asia	[6]	[1.0]	oMqv9J_9Ciqk_CL5gZdaHQ
asia	[6]	[1.0]	3mlHQTS6Em7el7w5x3W7lA
asia	[6]	[1.0]	mRDEpKlzTa-PBBkjWM1I5Q
caribbean	[6]	[1.0]	bnJp9eDmK_OM7tlQ0bpLPA
asia	[6]	[1.0]	gpMT_kXFdJeILdJhxPsEaA
far east asia	[6]	[1.0]	86gEWD3vsG8aSwTdHwnCnV
asia	[6]	[1.0]	YAGjkxYBZMYacp-tiUvYzw
asia	[6]	[1.0]	UFU7YeledfBGwJHWy6_e8g
asia	[6]	[1.0]	eDfUEKryVFpldU5wp28YcA
south east asia	[6]	[1.0]	b_WlZQeGqdftRZLCFrm4sw
asia	[6]	[1.0]	zC8Jg7-5a6qfPetMRjL5xA
south east asia	[6]	[1.0]	br_914mZwAryONnWcmeZeA
south east asia	[6]	[1.0]	reBIRg8n8xmuF8UKPbYYLQ
caribbean	[6]	[1.0]	hJSLANKmjCLGJXuk8nXATg
caribbean	[6]	[1.0]	WYRfuGlc_JxAHyrOVeiOAQ
asia	[6]	[1.0]	wzfrJI_quib1CVAPzovv2w
south east asia	[2]	[0.9999969005584717]	AOimhj5gMgPr_5W884KCIg
asia	[6]	[1.0]	qrDjMnvXCrD3vXy4YsOYvQ
south east asia	[6]	[0.9986856579780579]	D3tZ4ahLutjjHoGdpUbcAg
asia	[6]	[1.0]	3ofyUeaUW19X6iWC1GZosQ
south east asia	[6]	[1.0]	jJxqhESPlrTKH2P5N9iFtQ
asia	[6]	[1.0]	TqyywlpEcXKRyQdtkaUslw
micronesia	[6]	[0.8940600752830505]	mOJ81Kr42XDEUbPiVzKBHA
caribbean	[6]	[1.0]	1Zx0e47st8VV2mZo4zHF8w
asia	[6]	[1.0]	0v22LYbgYWNrROAJbqtpRg
asia	[6]	[1.0]	wMM_55dGBZfbGXZZZzM63Q
asia	[6]	[1.0]	ltzTQnyDzSiPisFbuQONeg
asia	[6]	[1.0]	vUjJeahMKiWKS-hO9mGDCQ
south east asia	[6]	[0.7973607778549194]	Itci8clag3BSorJAOZMtNw
south east asia	[6]	[1.0]	fgxu6VMLkFeRwnP_hPEY6Q
south east asia	[6]	[0.604347825050354]	BHiaas0OFOuz8taf707_uA
asia	[6]	[1.0]	Uk1aLQYhHDutdYRT3JdrEQ
east asia	[6]	[1.0]	7YqywOoldZ96mwnB4Uoe-w
caribbean	[6]	[0.994392454624176]	vq3GZUmX0wr_1-5KXW8OQg
asia	[6]	[1.0]	BTDM1ErVg4eIJb_PGhySpw
south east asia	[6]	[1.0]	w-9wA0qi4vdBDiRPKfI-2A
south east asia	[6]	[1.0]	ContGxby46xATVhs04XPVg
central america	[6]	[1.0]	i2eBA5oSNrvsegxX8rDe5w
asia	[6]	[1.0]	dFp9EWadQU836Bd3h5_h1A
asia	[6]	[1.0]	e0o_VBFlthJq5R4ZZJIfmA
